Date,Open,High,Low,Close,Return,Volume,Company
2022-01-11,172.320007,175.179993,170.820007,175.080002,0.016016683,76138300,Apple
2022-01-12,176.119995,177.179993,174.820007,175.529999,-0.003349966,74805200,Apple
2022-01-13,175.779999,176.619995,171.789993,172.190002,-0.020423239,84505800,Apple
2022-01-14,171.339996,173.779999,171.089996,173.070007,0.010096948,80355000,Apple
2022-01-18,171.509995,172.539993,169.410004,169.800003,-0.009970218,90956700,Apple
2022-01-19,170,171.080002,165.940002,166.229996,-0.022176494,94815000,Apple
2022-01-20,166.979996,169.679993,164.179993,164.509995,-0.014792197,91420500,Apple
2022-01-21,164.419998,166.330002,162.300003,162.410004,-0.012224754,122501300,Apple
2022-01-24,160.020004,162.300003,154.699997,161.619995,0.009998694,162706700,Apple
2022-01-25,158.979996,162.759995,157.020004,159.779999,0.005032099,115798400,Apple
2022-01-26,163.5,164.389999,157.820007,159.690002,-0.02330274,107740600,Apple
2022-01-27,162.449997,163.839996,158.279999,159.220001,-0.019883017,116691400,Apple
2022-01-28,165.710007,170.350006,162.800003,170.330002,0.02788,179935660,Apple
